Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Teammate,Ungrouped,Notes,Flags
260119,1207.1975037082952,16.710003862704752,Grey,1,-3,Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #7 Donovan Hunter | #11 Brian Waddell | #23 Sam Donald,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #7 Donovan Hunter, #11 Brian Waddell, #23 Sam Donald",Half Court,Reversal 3,Shot Qual 2,,,,,
260119,1325.3984869996552,16.37936149434472,Grey,2,-3,Box Touch 2, | #2 Tyler Doyle | #5 Myles Watkins | #7 Donovan Hunter | #11 Brian Waddell | #22 Darrius Bolden,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #7 Donovan Hunter, #11 Brian Waddell, #22 Darrius Bolden",Half Court,Reversal 1,Shot Qual 3,,,,,
260119,1339.729388596,6.182976715999985,Grey,3,+2,Box Touch 2, | #2 Tyler Doyle | #5 Myles Watkins | #7 Donovan Hunter | #11 Brian Waddell | #22 Darrius Bolden,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #7 Donovan Hunter, #11 Brian Waddell, #22 Darrius Bolden",Half Court,Reversal 0,Shot Qual 4,,,,,
260119,1372.0984671253166,15.668934874683373,Grey,4,+3,Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #7 Donovan Hunter | #11 Brian Waddell | #22 Darrius Bolden,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #7 Donovan Hunter, #11 Brian Waddell, #22 Darrius Bolden",Half Court,Reversal 1,Shot Qual 3,,,,,
260119,1416.7984806526615,19.24042775033854,Grey,5,+3,Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #7 Donovan Hunter | #11 Brian Waddell | #22 Darrius Bolden,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #7 Donovan Hunter, #11 Brian Waddell, #22 Darrius Bolden",Half Court,Reversal 1,Shot Qual 3,,,,,
260119,1445.8979892419707,22.922755498029346,Grey,6,"Deflection, +2",Box Touch 2, | #2 Tyler Doyle | #5 Myles Watkins | #7 Donovan Hunter | #11 Brian Waddell | #22 Darrius Bolden,Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #7 Donovan Hunter, #11 Brian Waddell, #22 Darrius Bolden",Half Court,Reversal 3,Shot Qual 3,,,,,
260119,1513.49755395701,20.207611538990022,Grey,7,"D REB, -3",Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #7 Donovan Hunter | #11 Brian Waddell | #22 Darrius Bolden,War Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #7 Donovan Hunter, #11 Brian Waddell, #22 Darrius Bolden",Half Court,Reversal 2,Shot Qual 3,,,,,
260119,1641.0991900833112,28.37478869668871,Grey,8,"Crash, Deflection, D REB, -2",Box Touch 2, | #2 Tyler Doyle | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #23 Sam Donald,War Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #23 Sam Donald",Half Court,Reversal 2,Shot Qual 2,,,,,
260119,1829.598758241994,26.651863655006082,Grey,9,"D REB, -3",Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #7 Donovan Hunter | #11 Brian Waddell | #22 Darrius Bolden,War Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #7 Donovan Hunter, #11 Brian Waddell, #22 Darrius Bolden",Half Court,Reversal 3,Shot Qual 2,,,,,
260119,1854.320847968,8.443696098000146,Grey,10,-3,Box Touch 0, | #2 Tyler Doyle | #5 Myles Watkins | #7 Donovan Hunter | #11 Brian Waddell | #22 Darrius Bolden,War Scramble,"#2 Tyler Doyle, #5 Myles Watkins, #7 Donovan Hunter, #11 Brian Waddell, #22 Darrius Bolden",Half Court,Reversal 1,Shot Qual 3,,,,,
