Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Teammate,Ungrouped,Notes,Flags
260107,2237.898216014332,20.02877981366828,Red,1,-2,Box Touch 1, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 2,Shot Qual 3,,,,,
260107,2256.077069973,7.0743214079998324,Red,2,,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 0,No Shot,,,,,
260107,2386.998180540999,18.559958367000945,Red,3,+2,Box Touch 2, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 2,"Foul Drawn, Shot Qual 4",Good O,,,,
260107,2420.297151666666,24.175970432333997,Red,4,,Box Touch 1, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 1,"Foul Drawn, Shot Qual 4",,,,,
260107,2455.897829432333,17.791748751667,Red,5,-3,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 2,Shot Qual 2,,,,,
260107,2470.9895427499996,4.2563812910002525,Red,6,+2,Box Touch 1, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 0,"Foul Drawn, Shot Qual 4",,,,,
260107,2500.0976461666673,23.119941016332632,Red,7,-3,Box Touch 1, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,Scramble,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court,Reversal 4,Shot Qual 1,,,,,
260107,2622.098184956999,16.797847416000877,Red,8,-3,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 2,Shot Qual 3,,,,,
260107,3679.3982099446657,15.761849317334054,Red,9,,Box Touch 0, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,5v5 Hog,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 1,No Shot,Good D,,,,
260107,3704.297151096666,25.292019772334243,Red,10,+2,Box Touch 2, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,5v5 Hog,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 0,Shot Qual 4,Bad D,,,,
