Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Teammate,X Cross,Ungrouped,Notes,Flags
251230,1857.4984941740024,20.164827708997564,Red,1,-3,Box Touch 0, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #10 Grant Whitaker | #23 Sam Donald,Scramble,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #10 Grant Whitaker, #23 Sam Donald",Half Court,Reversal 2,Shot Qual 2,,,,,,
251230,1875.534598254,10.418564041000081,Red,2,,Box Touch 2, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #10 Grant Whitaker | #23 Sam Donald,Scramble,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #10 Grant Whitaker, #23 Sam Donald",Half Court,Reversal 0,No Shot,,,,,,
251230,1936.0979128466633,13.500518275336617,Red,3,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #23 Sam Donald | #44 Jacob Wassler,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 2,No Shot,,,,,,
251230,1955.894,10.876659635999886,Red,4,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #23 Sam Donald | #44 Jacob Wassler,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 1,No Shot,,,,,,
251230,2138.998650319994,19.14361779100591,Red,5,-3,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #10 Grant Whitaker | #23 Sam Donald,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #10 Grant Whitaker, #23 Sam Donald",Half Court,Reversal 3,Shot Qual 3,,,,,,
251230,2156.501954708,9.724014490999707,Red,6,+3,Box Touch 1, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #10 Grant Whitaker | #23 Sam Donald,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #10 Grant Whitaker, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 3,,,,,,
251230,2470.999799249322,19.14186908267766,Red,7,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #10 Grant Whitaker | #23 Sam Donald,5v5 Hog,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #10 Grant Whitaker, #23 Sam Donald",Half Court,Reversal 1,No Shot,,,,,,
251230,2606.5090555555557,19.85894224544427,Red,8,-3,Box Touch 0, | #0 Tommy Clark | #5 Myles Watkins | #10 Grant Whitaker | #23 Sam Donald | #44 Jacob Wassler,5v5 Hog,"#0 Tommy Clark, #5 Myles Watkins, #10 Grant Whitaker, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 0,Shot Qual 1,,,,,,
251230,2624.324542375,18.443732810000256,Red,9,-2,Box Touch 1, | #0 Tommy Clark | #5 Myles Watkins | #10 Grant Whitaker | #23 Sam Donald | #44 Jacob Wassler,5v5 Hog,"#0 Tommy Clark, #5 Myles Watkins, #10 Grant Whitaker, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 3,,,,,,
251230,2675.5980960520023,25.76573367999754,Red,10,,Box Touch 1, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #10 Grant Whitaker | #23 Sam Donald,5v5 Hog,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #10 Grant Whitaker, #23 Sam Donald",Half Court,Reversal 1,No Shot,,,,,,
