Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Teammate,Ungrouped,Notes,Flags
260121,2726.097920664994,18.708143129005748,Red,1,+3,Box Touch 1, | #4 Grant Neal | #5 Myles Watkins | #22 Darrius Bolden | #24 Michael Wilson,4v4,"#4 Grant Neal, #5 Myles Watkins, #22 Darrius Bolden, #24 Michael Wilson",Half Court,Reversal 2,Shot Qual 3,,,,,
260121,2755.297898840645,9.181771000355184,Red,2,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #22 Darrius Bolden | #24 Michael Wilson,4v4,"#4 Grant Neal, #5 Myles Watkins, #22 Darrius Bolden, #24 Michael Wilson",Half Court,Reversal 1,No Shot,,,,,
260121,2772.854981829,16.039999162000186,Red,3,+2,Box Touch 1, | #4 Grant Neal | #5 Myles Watkins | #22 Darrius Bolden | #24 Michael Wilson,4v4,"#4 Grant Neal, #5 Myles Watkins, #22 Darrius Bolden, #24 Michael Wilson",Half Court,Reversal 2,Shot Qual 4,,,,,
260121,2796.098095791001,19.25631730999885,Red,4,Deflection,Box Touch 1, | #4 Grant Neal | #5 Myles Watkins | #22 Darrius Bolden | #24 Michael Wilson,4v4,"#4 Grant Neal, #5 Myles Watkins, #22 Darrius Bolden, #24 Michael Wilson",Half Court,Reversal 1,"Foul Drawn, Shot Qual 4",,,,,
260121,2842.698222422331,24.2234801956688,Red,5,,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #22 Darrius Bolden | #24 Michael Wilson,4v4,"#0 Tommy Clark, #4 Grant Neal, #22 Darrius Bolden, #24 Michael Wilson",Half Court,Reversal 2,No Shot,,,,,
260121,3186.2956813043384,16.337451383661573,Red,6,,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #22 Darrius Bolden | #24 Michael Wilson,4v4,"#0 Tommy Clark, #4 Grant Neal, #22 Darrius Bolden, #24 Michael Wilson",Half Court,Reversal 1,No Shot,,,,,
260121,4200.6985902899705,26.851986163029324,Red,7,-2,Box Touch 1, | #0 Tommy Clark | #5 Myles Watkins | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,5v5,"#0 Tommy Clark, #5 Myles Watkins, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 1,,,,,
260121,4299.83422725,26.705413079999744,Red,8,Deflection,Box Touch 2, | #4 Grant Neal | #5 Myles Watkins | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,5v5,"#4 Grant Neal, #5 Myles Watkins, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 0,"Foul Drawn, Shot Qual 4",,,,,
260121,4342.997622331985,4.458152292014347,Red,9,+1,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,5v5,"#4 Grant Neal, #5 Myles Watkins, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Special,Reversal 0,Shot Qual 4,,,,,
260121,4356.650976582,26.53375281100034,Red,10,-2,Box Touch 2, | #4 Grant Neal | #5 Myles Watkins | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,5v5,"#4 Grant Neal, #5 Myles Watkins, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 0,Shot Qual 1,,,,,
260121,4381.258076459,5.537356871999691,Red,11,,Box Touch 1, | #4 Grant Neal | #5 Myles Watkins | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,5v5,"#4 Grant Neal, #5 Myles Watkins, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 0,No Shot,,,,,
260121,4404.997517103986,26.456601185013824,Red,12,+2,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,5v5,"#4 Grant Neal, #5 Myles Watkins, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 2,Shot Qual 1,,,,,
260121,4473.20687891664,11.243804724360416,Red,13,"Deflection, Deflection",Box Touch 0, | #0 Tommy Clark | #5 Myles Watkins | #22 Darrius Bolden | #24 Michael Wilson | #44 Jacob Wassler,5v5,"#0 Tommy Clark, #5 Myles Watkins, #22 Darrius Bolden, #24 Michael Wilson, #44 Jacob Wassler",Half Court,Reversal 0,No Shot,,,,,
260121,2876.898142500341,14.029041917659015,Grey,1,+3,Box Touch 0, | #2 Tyler Doyle | #7 Donovan Hunter | #8 Kenyon Goodin | #10 Grant Whitaker,4v4,"#2 Tyler Doyle, #7 Donovan Hunter, #8 Kenyon Goodin, #10 Grant Whitaker",Half Court,Reversal 1,Shot Qual 3,,,,,
260121,2898.8977393493246,21.578620606675486,Grey,2,"Deflection, -3",Box Touch 0, | #2 Tyler Doyle | #7 Donovan Hunter | #8 Kenyon Goodin | #10 Grant Whitaker,4v4,"#2 Tyler Doyle, #7 Donovan Hunter, #8 Kenyon Goodin, #10 Grant Whitaker",Half Court,Reversal 3,Shot Qual 3,,,,,
